u_q,coolant,stator_winding,u_d,stator_tooth,motor_speed,i_d,i_q,pm,stator_yoke,ambient,torque,profile_id
-0.450681508,18.80517197,19.08666992,-0.350054592,18.29321861,0.002865568,0.004419137,0.000328102,24.55421448,18.31654739,19.85069084,0.187100798,17
-0.325737,18.81857109,19.09239006,-0.305803001,18.29480743,0.000256782,0.000605872,-0.000785353,24.53807831,18.31495476,19.85067177,0.245417491,17
-0.440864027,18.82876968,19.08938026,-0.372502625,18.29409409,0.002354971,0.001289587,0.000386468,24.54469299,18.3263073,19.85065651,0.176615342,17
-0.327025682,18.83556747,19.0830307,-0.316198707,18.2925415,0.006104666,2.56E-05,0.002045661,24.55401802,18.33083344,19.85064697,0.238302708,17
-0.47115013,18.85703278,19.08252525,-0.332272142,18.29142761,0.003132823,-0.064316779,0.037183776,24.56539726,18.32666206,19.85063934,0.208196655,17
-0.538972616,18.85703278,19.07710838,0.009147473,18.29062843,0.009636124,-0.613635242,0.336747348,24.57360077,18.32386208,19.85063362,0.476217836,17
-0.653148472,18.94171143,19.07458305,0.238889694,18.29252434,0.001337012,-1.005647302,0.554211259,24.57657814,18.32193565,19.85062981,0.670015335,17
-0.758391559,18.96086121,19.08249855,0.395099252,18.29404068,0.001421958,-1.288383722,0.706369996,abs,18.3146553,19.8506279,0.752035499,17
-0.727128446,18.97354507,19.08553314,0.546622515,18.29196358,0.000576553,-1.490530491,0.81733948,24.56707954,18.30692482,19.85062599,0.910541415,17
-0.874307454,18.98781204,19.07602501,0.578943968,18.28723335,-0.00124788,-1.634463549,0.81733948,24.55324173,18.30173302,19.85062408,0.9240098,17
-0.766983986,18.9987011,19.07805443,0.689281404,18.28650284,0.001852675,-1.739207864,0.952029526,24.53422928,18.30541611,19.85062218,1.033538103,17
-0.891274869,19.00430298,19.08316231,0.680499315,18.28929901,-0.004142461,-1.812125683,0.995459974,24.5189209,18.30359268,19.87695885,1.031784534,17
-0.84374392,18.99006081,19.08957481,0.732882917,18.2870636,0.003363267,-1.866989851,1.022930622,24.50837708,18.31222153,19.90296555,1.080854416,17
-0.808621645,18.96543503,19.10191345,0.810526609,18.28453064,-0.003565325,-1.903730512,1.045553207,24.50167656,18.313797,19.85196304,1.115404129,17
-0.886074424,18.92910576,19.10184288,0.796229839,18.28499222,-0.00058039,-1.931227803,1.05921948,24.47671318,18.31996155,19.85222816,1.089079261,17
-0.826320052,18.88047218,adv,0.843889654,18.28540039,0.000280462,-1.949552655,1.07179296,24.459692,18.33256531,19.85196304,1.151202679,17
-0.945092261,18.83951759,19.0927372,0.801049113,18.28534698,-0.001451866,-1.965535045,1.076939821,24.45814514,18.33057404,19.92391586,1.096611142,17
-0.842017174,18.80728531,19.09233856,0.851180732,18.28530693,-0.001538621,-1.974308014,1.08458364,-24.46741867,18.32253647,19.90313911,1.163322806,17
-0.961187124,18.77907181,19.09185791,0.808190763,18.28528023,-0.003263093,-1.981452942,1.088360786,24.47800064,18.31739616,19.88825035,1.121820569,17
-0.912816584,18.77373123,19.09414291,0.833553672,18.2840271,0.000786953,-1.988195181,1.087742686,24.48329353,18.31097603,19.87758446,1.114811301,17
-0.916470885,18.80094528,19.10287666,0.827922523,18.28428268,-0.001279084,-1.99088645,1.092754245,24.50847816,18.30895424,19.8699398,1.120905161,17
-0.945531785,18.8354702,19.1078968,0.811725199,18.28427696,0.001446724,-1.994657516,1.09175992,24.53093719,18.30624008,19.86446381,1.110260606,17
-0.864643574,18.84711456,19.10292625,0.844667554,18.28480911,0.002650902,-1.995024204,1.095996976,24.53871918,18.30220795,19.86054039,1.172173738,17
-0.974432528,18.85686874,19.09906387,0.80317086,18.28588867,0.00016257,-1.997702599,1.093382597,24.53025627,18.30116844,19.85772705,1.115775347,17
-0.421774149,18.88525009,19.09810257,0.665909529,18.28851128,4.788293362,-2.099720001,2.062773943,24.5235672,18.30085182,19.85571289,0.638446748,17
5.692666054,18.9361248,19.09020042,-1.205160379,18.29266739,117.7774887,-3.191214561,11.29672813,-1,18.30397797,19.85426903,2.689707518,17
16.27648544,18.96764946,19.08249283,-6.805256367,18.29325676,333.6721497,-6.213004112,26.67050552,24.48762894,18.32125854,19.85323524,10.85856247,17
30.2929306,18.97465324,19.08237839,-14.66652298,18.29194069,630.3953247,-8.841184616,39.17913055,24.4620266,18.33045769,19.85249329,18.12454796,17
46.82078171,18.98492622,19.08900452,-23.74708748,18.28914642,984.8758545,-10.72475052,48.14261246,24.44099808,18.3231163,19.85196304,23.26416588,17
65.26157379,18.99449539,19.07780457,-33.4334259,18.28610039,1380.684937,-11.98437214,54.39499283,24.43573952,18.31703758,19.85158157,26.64455414,17
84.11606598,18.99461174,19.05853081,-36.3999176,18.28391838,1806.124512,-13.85947418,51.28224182,24.4307766,18.31414986,19.85130882,23.39300919,17
91.33327484,18.99481392,19.0493412,-46.96298981,18.28050423,2252.754883,-32.17198181,54.01887512,24.36547089,18.31296921,19.85111427,26.75975418,17
94.83026123,18.97593689,19.05241966,-56.5373764,18.27701569,2714.523926,-52.63347244,55.17978668,24.28589821,18.3159008,19.85097504,29.10434723,17
95.68653107,18.9411068,19.08193779,-65.28024292,18.27636528,3187.173584,-73.00691986,55.30832672,24.26473618,18.31418991,19.85087395,30.66880989,17
94.4420929,18.91012001,19.08029175,-72.85375214,18.27755928,3662.767334,-92.45965576,54.7163353,24.37297058,18.3079834,19.85080147,32.56956482,17
93.56522369,18.87451553,19.05317879,-78.16062164,18.28554916,4041.967041,-107.0465775,54.13114548,24.45832062,18.31853104,19.85074997,37.01316452,17
92.98795319,18.84697342,19.06388664,-82.08722687,18.32224274,4313.600586,-117.4140244,53.78488541,24.38848877,18.33513069,19.85071373,40.28695297,17
92.54691315,18.82389832,19.1517849,-84.78216553,18.35211563,4508.188477,-124.7722549,53.48944473,24.405056,18.35504532,19.85068703,42.57666016,17
92.40385437,18.79880142,19.26878929,-86.73978424,18.35457611,4647.597168,-130.0195007,53.29805756,24.35106087,18.36828423,19.85066795,44.24040222,17
92.20590973,18.78588104,19.32846642,-88.09082794,18.36418724,4747.486328,-133.8542023,53.12988281,24.31991959,18.37710571,19.8506546,45.4703331,17
92.09673309,18.79399872,19.3658371,-89.07040405,18.35474586,4819.052246,-136.5466309,53.01786041,24.37267876,18.40394211,19.85064507,46.26978683,17
92.01148224,18.81829453,19.40844536,-89.87602234,18.3396225,4870.331055,-138.456192,52.97772598,24.45685387,18.42840195,19.85063744,46.8915062,17
91.97666931,18.82773209,19.49983788,-90.35048676,18.36831093,4907.075195,-139.7649231,52.90997696,24.49435043,18.44218063,19.85063362,47.29391098,17
91.6917038,18.83812523,19.52217293,-90.84911346,18.3958149,4933.409668,-140.7449493,52.86047363,24.56790924,18.44553566,19.85062981,47.62765503,17
91.69003296,18.87758255,19.47428703,-91.24068451,18.41897583,4952.276367,-141.3739166,52.90927887,24.6321125,18.44631386,19.85062599,47.85958862,17
91.55169678,18.93671036,19.48499298,-91.43112946,18.48439407,4965.794922,-141.8997345,52.88905716,24.70804596,18.44729805,19.85062408,48.02729797,17
91.5039978,18.96876144,19.56229782,-91.54257202,18.5453968,4975.481445,-142.1849976,52.83537292,24.72052002,18.44395256,19.85062408,48.11584854,17
91.42022705,18.98303604,19.63839149,-91.69178009,18.61006927,4982.421387,-142.430954,52.83867264,24.72442055,18.44872284,19.85062218,48.20462799,17
91.3238678,18.99272919,19.69207382,-91.68550873,18.69973946,4987.389648,-142.6726837,52.78606033,24.73588181,18.4548912,19.85062218,48.18384552,17
91.21046448,19.00747108,19.73701668,-91.67628479,18.77998924,4990.947754,-142.8072662,52.72650528,24.74635696,18.45853424,19.85062218,48.34700012,17
91.30334473,19.02474594,19.76922035,-91.61979675,18.85722923,4993.492676,-143.0028687,52.71538162,24.85456085,18.46211052,19.85062027,48.40454483,17
91.31778717,19.03580284,19.79229355,-91.60912323,18.92370605,4995.330078,-143.2575378,52.74920654,24.89683151,18.46132088,19.85062027,48.50986099,17
91.50395966,19.01597404,19.82242203,-91.54717255,18.96208382,4996.641113,-143.3574066,52.75727844,24.88163757,18.49074364,19.85062027,48.54697037,17
91.63202667,18.96730614,19.87445259,-91.44582367,18.98374939,4997.576172,-143.4975891,52.75606537,24.88752365,18.52867889,19.85062027,48.53339767,17
91.72813416,18.93075562,19.98326874,-91.44301605,19.01928329,4998.259277,-143.59758,52.76506042,24.93545723,18.54282761,19.85062027,48.4661026,17
91.69637299,18.89103317,20.14957428,-91.49674225,19.04203224,4998.742676,-143.6170044,52.77028275,24.98430634,18.56760025,19.85062027,48.44016266,17
91.80187225,18.84735298,20.39146614,-91.42882538,19.05465126,4999.081543,-143.5697021,52.7237587,25.06441116,18.58888626,19.85062027,48.35169601,17
91.72537231,18.81692314,20.70502281,-91.58691406,19.08956909,4999.332031,-143.613678,52.77153015,25.09139252,18.6091404,19.85062027,48.38402557,17
91.74338531,18.7900486,20.90047646,-91.56077576,19.17592239,4999.501953,-143.5138245,52.7367897,25.13454437,18.62181473,19.85062027,48.38375854,17
91.68592072,18.7759304,21.03018379,-91.59564209,19.24765015,4999.626465,-143.4749756,52.74597549,25.14380455,18.62425423,19.85062027,48.36180496,17
91.60424805,18.78638077,21.16049004,-91.66465759,19.29424477,4999.733398,-143.4610138,52.7972374,25.19322014,18.62954712,19.85062027,48.36323547,17
91.50417328,18.81254578,21.26753998,-91.68872833,19.37235832,4999.796875,-143.3226013,52.77402115,25.22175217,18.6373558,19.85062027,48.3503685,17
91.62711334,18.8348217,21.48827934,-91.76865387,19.46616936,4999.838379,-143.1643677,52.82323074,25.26532745,18.65783501,19.85062027,48.39472198,17
91.6698761,18.84308243,21.75036621,-91.83112335,19.548172,4999.873535,-143.072403,52.83293533,25.30532837,18.70764923,19.85062027,48.40420151,17
91.66087341,18.86523628,21.95392036,-91.92790985,19.60890388,4999.897949,-143.0134735,52.8747139,25.34822083,18.77098274,19.85062027,48.38418961,17
91.66999054,18.90862274,22.15221977,-91.94959259,19.65137672,4999.910156,-142.9343262,52.87958527,25.35770035,18.8177681,19.85062027,48.39691162,17
91.57463074,18.94642258,22.36210632,-91.99981689,19.69723129,4999.922363,-142.918045,52.88457108,25.3760128,18.85618019,19.85062027,48.3430748,17
91.3585968,18.97416687,22.57530785,-92.13192749,19.73754883,4999.935547,-142.8423309,52.85838318,25.41579056,18.89439392,19.85062027,48.4203186,17
91.36665344,18.99323654,22.79669571,-92.13973236,19.76697731,4999.936035,-142.7714539,52.87234879,25.49888992,18.91415024,19.85062027,48.39601517,17
91.25337219,19.0071125,23.0473156,-92.17597198,19.78999138,4999.945313,-142.7678223,52.8588562,25.60040474,18.93191528,19.85062027,48.37667465,17
91.19622803,19.02098083,23.25574684,-92.14096069,19.8071785,4999.950684,-142.750885,52.82914352,25.66279602,18.9440403,19.85062027,48.36834335,17
91.1364212,19.01303482,23.34762955,-92.0693512,19.81949234,4999.952148,-142.7813416,52.80554199,25.65943527,18.96158791,19.85062027,48.37695694,17
91.08652496,18.9846611,23.38085365,-92.03020477,19.82831573,4999.954102,-142.8674927,52.80385208,25.68253326,18.99468803,19.85062027,48.40718079,17
91.03054047,18.95289421,23.42476654,-92.02114868,19.8346386,4999.953613,-142.8893738,52.78090668,25.71392632,19.03345871,19.85062027,48.38267136,17
91.22318268,18.90567207,23.50649071,-91.84054565,19.83916855,4999.94873,-142.9456482,52.75315857,25.7714138,19.05862808,19.85062027,48.48284149,17
91.40493774,18.86194801,23.70257759,-91.79922485,19.84241486,4999.95752,-143.0320435,52.81324768,25.8392868,19.0759201,19.85062027,48.46073532,17
91.52488708,18.83242035,23.95046234,-91.65341187,19.84474182,4999.955078,-143.1394806,52.77966309,25.88093185,19.09436798,19.85062027,48.39451599,17
91.61347961,18.80834579,24.16281319,-91.64830017,19.84640694,4999.960449,-143.2391968,52.78006363,25.93289757,19.10693741,19.85062027,48.4311142,17
91.72055054,18.78609848,24.37574577,-91.56175995,19.84760094,4999.960449,-143.256073,52.77664948,25.89650726,19.13085938,19.85062027,48.37857056,17
91.68611908,18.77888298,24.53831673,-91.58017731,19.84845734,4999.958984,-143.2033081,52.78157806,25.84420967,19.1493721,19.85062027,48.41249466,17
91.75119019,18.78165436,24.64872742,-91.62676239,19.90829086,4999.951172,-143.1453094,52.81298447,25.91022491,19.16798592,19.85062027,48.42960739,17
91.67605591,18.80059052,24.71929741,-91.7124176,19.92533112,4999.956055,-143.1491852,52.82122803,25.99282455,19.18441963,19.85062027,48.3568306,17
91.60262299,18.82907486,24.82834435,-91.73381042,19.98311234,4999.952637,-143.1326752,52.80918121,26.0061264,19.20405769,19.85062027,48.37440491,17
91.5195694,18.84478188,24.97796249,-91.77494049,20.14737511,4999.953613,-143.116806,52.79948425,26.03347206,19.22396088,19.85062027,48.35701752,17
91.4989624,18.88220024,25.06825829,-91.84781647,20.27038002,4999.958984,-143.0408936,52.80732727,26.0925808,19.24659157,19.85062027,48.33122253,17
91.34884644,18.9394207,25.13029099,-91.90136719,20.33660698,4999.958496,-142.9513397,52.76807785,26.13123322,19.25992393,19.85062027,48.41606903,17
91.43663788,18.98342514,25.29652596,-92.0875473,20.56110191,4999.961426,-142.8328552,52.87370682,26.21213531,19.26777267,19.85062027,48.46357346,17
91.51195526,19.01854706,25.45828056,-92.08676147,20.82917786,4999.956543,-142.7193298,52.88060379,26.2982502,19.30007935,19.85062027,48.40291214,17
91.47473907,19.03207779,25.54686165,-92.10447693,21.02852249,4999.955078,-142.684433,52.87490463,26.30823517,19.32144737,19.85062027,48.29776764,17
91.41506958,19.03107262,25.64108658,-92.12319183,21.25082207,4999.95166,-142.6668396,52.86449814,26.3357048,19.35794258,19.85062027,48.30906296,17
91.35285187,19.02543449,25.77824211,-92.19615936,21.4539299,4999.958984,-142.608963,52.87973022,26.35141945,19.39681816,19.85062027,48.31930161,17
91.0682373,19.01722908,25.93728447,-92.31375122,21.64140892,4999.962891,-142.5825348,52.85390854,26.42046356,19.42347145,19.85062027,48.45709229,17
91.12750244,18.99901962,26.0532608,-92.37380219,21.8074131,4999.952637,-142.4538574,52.89625931,26.48495865,19.43216133,19.85062027,48.40164566,17
91.00541687,18.96207619,26.15395737,-92.37014771,21.96049118,4999.959961,-142.5113678,52.87240601,26.54389191,19.43829727,19.85062027,48.3635025,17
90.94940948,18.9131794,26.23389626,-92.32862091,22.0788517,4999.958496,-142.532196,52.83192825,26.58364487,19.46282578,19.85062027,48.35166931,17
90.93195343,18.86360741,26.28414917,-92.25521851,22.19368362,4999.962402,-142.5694122,52.79216766,26.63250351,19.48547363,19.85062027,48.37652206,17
90.96907806,18.8208313,26.33001328,-92.15538788,22.28865623,4999.959473,-142.6409454,52.80578995,26.71968079,19.51098824,19.85062027,48.4260025,17
90.88800049,18.79639816,26.3922348,-92.11506653,22.39297676,4999.956543,-142.759552,52.788311,26.78069878,19.53094292,19.85062027,48.39544296,17
91.11343384,18.78973579,26.55006981,-92.00053406,22.51130676,4999.949707,-142.8102112,52.79076004,26.79211426,19.54430962,19.85062027,48.39751053,17
91.3061676,18.78229332,26.86169815,-91.89769745,22.63320923,4999.95459,-142.9024506,52.80436707,26.78974533,19.5561657,19.85062027,48.39957809,17
91.50767517,18.77867317,27.1050663,-91.70967102,22.76195908,4999.953613,-142.9205322,52.76118851,26.78710747,19.58447838,19.85062027,48.43657303,17
91.62203979,18.77985382,27.24380493,-91.72000122,22.86951447,4999.960449,-142.9616547,52.79756546,26.7869854,19.61246109,19.85062027,48.39107513,17
91.60606384,18.79522324,27.43465614,-91.75765991,22.95151711,4999.965332,-143.0279388,52.82520676,26.83504486,19.63755989,19.85062027,48.38398361,17
91.46917725,18.81842232,27.60756874,-91.771698,23.02169228,4999.965332,-143.0228882,52.80480576,26.94024086,19.65135002,19.85062027,48.42695618,17
91.50517273,18.85909081,27.71158791,-91.85791779,23.07437706,4999.949707,-142.9543152,52.82964325,26.9841423,19.66843033,19.85062027,48.37854767,17
91.47738647,18.91802788,27.78703308,-91.85083008,23.10518456,4999.95166,-142.9113617,52.80305862,26.99456787,19.69652939,19.85062027,48.35246277,17
91.42697906,18.94971657,27.85492516,-91.9471817,23.1463356,4999.959473,-142.8787079,52.83732986,27.04631615,19.72311592,19.85062027,48.38155746,17
91.44018555,18.98585892,27.96151161,-91.94606781,23.17908859,4999.959961,-142.79422,52.81689835,27.05197906,19.74039268,19.85062027,48.45470428,17
91.37052155,19.01689911,28.06795883,-92.00855255,23.23435402,4999.959961,-142.7857819,52.83280563,27.09791946,19.75384712,19.85062027,48.36798859,17
91.33072662,19.03999329,28.09358978,-92.13677216,23.30407333,4999.962891,-142.5872192,52.84723282,27.14457321,19.76981544,19.85062027,48.42205811,17
91.40397644,19.04485321,28.2281208,-92.15554047,23.3697319,4999.95752,-142.5042267,52.87372589,27.20276642,19.78835678,19.85062027,48.33955002,17
91.31357574,19.0159111,28.44271088,-92.18611145,23.43441391,4999.956055,-142.5617218,52.8652153,27.26036835,19.80099297,19.85062027,48.36259079,17
91.33634949,18.97960472,28.57623291,-92.23252869,23.47687912,4999.955566,-142.4756775,52.91150665,27.29575539,19.81262589,19.85062027,48.3933754,17
91.32845306,18.93179703,28.70052528,-92.28134918,23.54519463,4999.951172,-142.3850708,52.88439941,27.32031059,19.82216263,19.85062027,48.41513443,17
91.16630554,18.88693237,28.86852837,-92.47908783,23.62253761,4999.954102,-142.4288788,52.9381218,27.31713867,19.82830048,19.85062027,48.43326569,17
90.90953064,18.85142899,29.03245735,-92.54586029,23.72507477,4999.958984,-142.3988495,52.90982819,27.36657333,19.83393097,19.85062027,48.47197723,17
90.92209625,18.82632065,29.20909119,-92.48126221,23.80851364,4999.951172,-142.3349152,52.8678894,27.43370819,19.8386631,19.85062027,48.44287491,17
90.8539505,18.80148697,29.37224197,-92.4837265,23.92745972,4999.958496,-142.3870544,52.90181732,27.47234726,19.84205246,19.85062027,48.46421814,17
